Star  ,Temperature,Luminosity
Ross 248 ,2500 , 0.000
Proxima Centauri , 2800 , 0.001
Barnard's Star , 3100 , 0.005
Antares  , 3200 , 7500.000
Betelgeuse  , 3200 , 100000.000
Aldebaran  , 4000 , 500.000
Pollux  , 4700 , 75.000
Epsilon Indi , 4800 , 0.100
Alpha Centauri A, 5700 , 5.000
Sun  , 5700 , 1.000
Polaris  , 6000 , 5000.000
Altair  , 7500 , 10.000
Deneb  , 8800 , 900000.000
Procyon B , 8900 , 0.001
Sirius  , 9000 , 20.000
Beta Carinae , 9500 , 100.000
Vega  , 9500 , 90.000
Rigel  , 11000 , 100000.000
40 Eridani B, 18000 , 0.010
Bellatrix  , 18000 , 1000.000
Beta Centauri , 21000 , 1000.000
Spica  , 25000 , 50000.000
